ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean
0_0.0001_1,0,0.0001,1,57.15,63.92,82.24,73.19,72.05,69.71
0_0.0001_3,0,0.0001,3,89.14,87.91,96.34,87.98,76.57,87.588
0_0.0001_5,0,0.0001,5,88.31,87.23,96.09,91.1,72.94,87.134
0_0.0001_7,0,0.0001,7,87.55,85.5,95.85,90.5,70.24,85.928
0_0.0001_9,0,0.0001,9,86.85,84.26,95.6,89.92,67.89,84.904
0_0.0001_11,0,0.0001,11,86.24,83.11,95.35,89.3,65.78,83.956
0_0.0001_13,0,0.0001,13,85.48,81.89,95.09,88.67,64.07,83.04
0_0.0001_15,0,0.0001,15,85.03,80.8,94.82,88.02,62.51,82.236
0_0.0005_1,0,0.0005,1,91.77,92.34,96.55,92.8,82.03,91.098
0_0.0005_3,0,0.0005,3,89.7,89.33,96.34,91.74,75.92,88.606
0_0.0005_5,0,0.0005,5,88.31,87.23,96.09,91.03,72,86.932
0_0.0005_7,0,0.0005,7,87.55,85.5,95.85,90.37,69.08,85.67
0_0.0005_9,0,0.0005,9,86.85,84.26,95.6,89.71,66.61,84.606
0_0.0005_11,0,0.0005,11,86.24,83.11,95.35,89.09,64.46,83.65
0_0.0005_13,0,0.0005,13,85.48,81.89,95.09,88.47,62.72,82.73
0_0.0005_15,0,0.0005,15,85.03,80.8,94.82,87.81,61.05,81.902
0_0.001_1,0,0.001,1,91.77,92.32,96.55,92.8,82.03,91.094
0_0.001_3,0,0.001,3,89.7,89.33,96.34,91.74,75.92,88.606
0_0.001_5,0,0.001,5,88.31,87.23,96.09,91.03,72,86.932
0_0.001_7,0,0.001,7,87.55,85.46,95.85,90.37,69.08,85.662
0_0.001_9,0,0.001,9,86.85,84.22,95.6,89.71,66.61,84.598
0_0.001_11,0,0.001,11,86.24,83.07,95.35,89.09,64.46,83.642
0_0.001_13,0,0.001,13,85.48,81.85,95.09,88.47,62.72,82.722
0_0.001_15,0,0.001,15,85.03,80.76,94.82,87.81,61.05,81.894
0_0.005_1,0,0.005,1,91.77,92.24,96.55,92.8,81.91,91.054
0_0.005_3,0,0.005,3,89.7,89.35,96.34,91.74,75.91,88.608
0_0.005_5,0,0.005,5,88.31,87.23,96.09,91.03,72.14,86.96
0_0.005_7,0,0.005,7,87.55,85.42,95.85,90.37,69.58,85.754
0_0.005_9,0,0.005,9,86.85,84.18,95.6,89.71,67.37,84.742
0_0.005_11,0,0.005,11,86.24,83.06,95.35,89.09,65.27,83.802
0_0.005_13,0,0.005,13,85.48,81.85,95.09,88.47,63.63,82.904
0_0.005_15,0,0.005,15,85.03,80.56,94.82,87.81,62.26,82.096
0_0.01_1,0,0.01,1,91.73,92.14,96.55,92.8,81.87,91.018
0_0.01_3,0,0.01,3,89.36,89.37,96.34,91.74,75.78,88.518
0_0.01_5,0,0.01,5,87.89,87.24,96.09,91.03,72.02,86.854
0_0.01_7,0,0.01,7,87.17,85.35,95.85,90.37,69.46,85.64
0_0.01_9,0,0.01,9,86.51,84.12,95.6,89.71,67.25,84.638
0_0.01_11,0,0.01,11,85.94,82.92,95.35,89.09,65.14,83.688
0_0.01_13,0,0.01,13,85.31,81.85,95.09,88.47,63.51,82.846
0_0.01_15,0,0.01,15,84.86,80.56,94.82,87.81,62.13,82.036
0_0.05_1,0,0.05,1,91.49,91.88,96.47,92.73,81.33,90.78
0_0.05_3,0,0.05,3,88.76,88.66,96.19,90.5,74.65,87.752
0_0.05_5,0,0.05,5,87.29,86.41,95.71,88.91,70.38,85.74
0_0.05_7,0,0.05,7,86.55,84.57,95.44,87.83,67.13,84.304
0_0.05_9,0,0.05,9,85.87,83.19,95.18,86.85,64.81,83.18
0_0.05_11,0,0.05,11,85.22,81.91,94.91,85.77,62.6,82.082
