name,points,score
2020_6_29_3_TN_DN_F0_V,3,96.99
2020_6_29_5_TN_DN_F0_V,3,96.18
2020_6_29_20_TN_DN_F0_,3,96.16
2020_7_28_11_TN_DN_F0_,3,94.8
2020_7_28_3_TN_DN_F2_V,3,94.48
2020_6_29_1_TN_DN_F0_V,3,93.63
2020_6_29_13_TN_DN_F2_,3,93.07
2020_6_29_2_TN_DN_F0_V,3,92.49
2020_7_28_10_TN_DN_F0_,3,92.35
2020_7_28_29_TN_DN_F2_,3,92.32
2020_7_28_19_TN_DN_F2_,3,92.31
2020_6_29_6_TN_DN_F0_V,3,92.21
2020_6_29_30_TN_DN_F0_,3,92.18
2020_6_29_21_TN_DN_F0_,3,91.68
2020_6_29_16_TN_DN_F0_,3,91.39
2020_7_28_5_TN_DN_F2_V,3,91.25
2020_7_28_25_TN_DN_F0_,3,91.18
2020_7_28_22_TN_DN_F0_,3,90.95
2020_6_29_9_TN_DN_F2_V,3,90.52
2020_7_28_21_TN_DN_F2_,3,90.45
2020_7_28_27_TN_DN_F0_,3,90.27
2020_7_28_9_TN_DN_F0_V,3,89.79
2020_7_28_23_TN_DN_F0_,3,89.46
2020_6_29_10_TN_DN_F2_,3,89.42
2020_6_29_15_TN_DN_F2_,3,89.32
2020_6_29_17_TN_DN_F0_,3,89.18
2020_7_28_17_TN_DN_F2_,3,89.16
2020_7_28_30_TN_DN_F2_,3,89.06
2020_7_28_16_TN_DN_F2_,3,88.96
2020_7_28_7_TN_DN_F0_V,3,88.9
2020_6_29_18_TN_DN_F0_,3,88.86
2020_7_28_18_TN_DN_F2_,3,88.65
2020_6_29_19_TN_DN_F0_,3,87.34
2020_7_28_12_TN_DN_F0_,3,87.18
2020_6_29_29_TN_DN_F0_,3,86.86
2020_6_29_23_TN_DN_F2_,3,86.69
2020_7_28_2_TN_DN_F2_V,3,86.58
2020_7_28_28_TN_DN_F2_,3,86.45
2020_6_29_12_TN_DN_F2_,3,86.09
2020_6_29_25_TN_DN_F2_,3,86.08
2020_6_29_7_TN_DN_F2_V,3,85.84
2020_6_29_28_TN_DN_F0_,3,85.5
2020_7_28_1_TN_DN_F2_V,3,85.36
2020_7_28_20_TN_DN_F2_,3,85.2
2020_7_28_8_TN_DN_F0_V,3,85.08
2020_6_29_8_TN_DN_F2_V,3,84.89
2020_6_29_27_TN_DN_F2_,3,84.67
2020_6_29_22_TN_DN_F2_,3,84.25
2020_6_29_11_TN_DN_F2_,3,83.39
2020_6_29_14_TN_DN_F2_,3,83.35
2020_7_28_4_TN_DN_F2_V,3,81.33
2020_6_29_26_TN_DN_F2_,3,78.78
2020_7_28_13_TN_DN_F0_,3,77.94
2020_6_29_24_TN_DN_F2_,3,75.31
2020_6_29_4_TN_DN_F0_V,3,73.24
2020_7_28_24_TN_DN_F0_,3,73.03
2020_7_28_26_TN_DN_F0_,3,72.86
2020_7_28_15_TN_DN_F0_,3,70.26
2020_7_28_14_TN_DN_F0_,3,66.47
2020_7_28_6_TN_DN_F2_V,3,56.39
2020_6_29_3_TN_DN_F0_V,4,97.82
2020_6_29_20_TN_DN_F0_,4,97.12
2020_6_29_5_TN_DN_F0_V,4,96.61
2020_7_28_11_TN_DN_F0_,4,96.24
2020_6_29_6_TN_DN_F0_V,4,95.3
2020_6_29_1_TN_DN_F0_V,4,94.68
2020_7_28_3_TN_DN_F2_V,4,94.54
2020_6_29_13_TN_DN_F2_,4,93.54
2020_7_28_29_TN_DN_F2_,4,93.37
2020_7_28_10_TN_DN_F0_,4,93.36
2020_6_29_17_TN_DN_F0_,4,93.18
2020_6_29_16_TN_DN_F0_,4,92.95
2020_6_29_30_TN_DN_F0_,4,92.94
2020_7_28_22_TN_DN_F0_,4,92.83
2020_7_28_25_TN_DN_F0_,4,91.98
2020_7_28_27_TN_DN_F0_,4,91.86
2020_6_29_24_TN_DN_F2_,4,91.86
2020_7_28_23_TN_DN_F0_,4,91.71
2020_7_28_1_TN_DN_F2_V,4,91.46
2020_6_29_9_TN_DN_F2_V,4,91.1
2020_7_28_7_TN_DN_F0_V,4,90.99
2020_7_28_18_TN_DN_F2_,4,90.78
2020_6_29_2_TN_DN_F0_V,4,90.67
2020_6_29_10_TN_DN_F2_,4,90.41
2020_6_29_15_TN_DN_F2_,4,90.36
2020_7_28_16_TN_DN_F2_,4,90.36
2020_7_28_5_TN_DN_F2_V,4,90.18
2020_7_28_24_TN_DN_F0_,4,90.18
2020_7_28_21_TN_DN_F2_,4,90.12
2020_6_29_18_TN_DN_F0_,4,89.36
2020_7_28_12_TN_DN_F0_,4,89.24
2020_7_28_17_TN_DN_F2_,4,89.2
2020_6_29_21_TN_DN_F0_,4,89.13
2020_6_29_29_TN_DN_F0_,4,88.82
2020_7_28_28_TN_DN_F2_,4,88.71
2020_6_29_28_TN_DN_F0_,4,88.26
2020_6_29_25_TN_DN_F2_,4,88.26
2020_7_28_4_TN_DN_F2_V,4,88.0
2020_7_28_8_TN_DN_F0_V,4,87.99
2020_7_28_30_TN_DN_F2_,4,87.84
2020_6_29_23_TN_DN_F2_,4,87.24
2020_7_28_20_TN_DN_F2_,4,86.82
2020_6_29_4_TN_DN_F0_V,4,86.37
2020_6_29_12_TN_DN_F2_,4,86.31
2020_6_29_7_TN_DN_F2_V,4,85.87
2020_6_29_8_TN_DN_F2_V,4,85.64
2020_7_28_2_TN_DN_F2_V,4,84.31
2020_6_29_14_TN_DN_F2_,4,83.18
2020_7_28_6_TN_DN_F2_V,4,82.63
2020_6_29_26_TN_DN_F2_,4,80.04
2020_6_29_27_TN_DN_F2_,4,74.08
2020_7_28_14_TN_DN_F0_,4,73.57
2020_7_28_15_TN_DN_F0_,4,73.33
2020_7_28_19_TN_DN_F2_,4,73.17
2020_7_28_13_TN_DN_F0_,4,72.48
2020_6_29_19_TN_DN_F0_,4,71.88
2020_7_28_9_TN_DN_F0_V,4,71.24
